number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
0001,u+1f600,grinning-face,0001-grinning-face.md,grinning_face,😀,permalink: 😀.html,grinning face,"---
layout: smileys&emotion
title: grinning face
emoji: grinning_face
permalink: 😀.html
---"
0002,u+1f603,grinning-face-with-big-eyes,0002-grinning-face-with-big-eyes.md,grinning_face_with_big_eyes,😃,permalink: 😃.html,grinning face with big eyes,"---
layout: smileys&emotion
title: grinning face with big eyes
emoji: grinning_face_with_big_eyes
permalink: 😃.html
---"
0003,u+1f604,grinning-face-with-smiling-eyes,0003-grinning-face-with-smiling-eyes.md,grinning_face_with_smiling_eyes,😄,permalink: 😄.html,grinning face with smiling eyes,"---
layout: smileys&emotion
title: grinning face with smiling eyes
emoji: grinning_face_with_smiling_eyes
permalink: 😄.html
---"
0004,u+1f601,beaming-face-with-smiling-eyes,0004-beaming-face-with-smiling-eyes.md,beaming_face_with_smiling_eyes,😁,permalink: 😁.html,beaming face with smiling eyes,"---
layout: smileys&emotion
title: beaming face with smiling eyes
emoji: beaming_face_with_smiling_eyes
permalink: 😁.html
---"
0005,u+1f606,grinning-squinting-face,0005-grinning-squinting-face.md,grinning_squinting_face,😆,permalink: 😆.html,grinning squinting face,"---
layout: smileys&emotion
title: grinning squinting face
emoji: grinning_squinting_face
permalink: 😆.html
---"
0006,u+1f605,grinning-face-with-sweat,0006-grinning-face-with-sweat.md,grinning_face_with_sweat,😅,permalink: 😅.html,grinning face with sweat,"---
layout: smileys&emotion
title: grinning face with sweat
emoji: grinning_face_with_sweat
permalink: 😅.html
---"
0007,u+1f923,rolling-on-the-floor-laughing,0007-rolling-on-the-floor-laughing.md,rolling_on_the_floor_laughing,🤣,permalink: 🤣.html,rolling on the floor laughing,"---
layout: smileys&emotion
title: rolling on the floor laughing
emoji: rolling_on_the_floor_laughing
permalink: 🤣.html
---"
0008,u+1f602,face-with-tears-of-joy,0008-face-with-tears-of-joy.md,face_with_tears_of_joy,😂,permalink: 😂.html,face with tears of joy,"---
layout: smileys&emotion
title: face with tears of joy
emoji: face_with_tears_of_joy
permalink: 😂.html
---"
0009,u+1f642,slightly-smiling-face,0009-slightly-smiling-face.md,slightly_smiling_face,🙂,permalink: 🙂.html,slightly smiling face,"---
layout: smileys&emotion
title: slightly smiling face
emoji: slightly_smiling_face
permalink: 🙂.html
---"
0010,u+1f643,upside-down-face,0010-upside-down-face.md,upside_down_face,🙃,permalink: 🙃.html,upside-down face,"---
layout: smileys&emotion
title: upside-down face
emoji: upside_down_face
permalink: 🙃.html
---"
0011,u+1f609,winking-face,0011-winking-face.md,winking_face,😉,permalink: 😉.html,winking face,"---
layout: smileys&emotion
title: winking face
emoji: winking_face
permalink: 😉.html
---"
0012,u+1f60a,smiling-face-with-smiling-eyes,0012-smiling-face-with-smiling-eyes.md,smiling_face_with_smiling_eyes,😊,permalink: 😊.html,smiling face with smiling eyes,"---
layout: smileys&emotion
title: smiling face with smiling eyes
emoji: smiling_face_with_smiling_eyes
permalink: 😊.html
---"
0013,u+1f607,smiling-face-with-halo,0013-smiling-face-with-halo.md,smiling_face_with_halo,😇,permalink: 😇.html,smiling face with halo,"---
layout: smileys&emotion
title: smiling face with halo
emoji: smiling_face_with_halo
permalink: 😇.html
---"
0014,u+1f970,smiling-face-with-hearts,0014-smiling-face-with-hearts.md,smiling_face_with_hearts,🥰,permalink: 🥰.html,smiling face with hearts,"---
layout: smileys&emotion
title: smiling face with hearts
emoji: smiling_face_with_hearts
permalink: 🥰.html
---"
0015,u+1f60d,smiling-face-with-heart-eyes,0015-smiling-face-with-heart-eyes.md,smiling_face_with_heart_eyes,😍,permalink: 😍.html,smiling face with heart-eyes,"---
layout: smileys&emotion
title: smiling face with heart-eyes
emoji: smiling_face_with_heart_eyes
permalink: 😍.html
---"
0016,u+1f929,star-struck,0016-star-struck.md,star_struck,🤩,permalink: 🤩.html,star-struck,"---
layout: smileys&emotion
title: star-struck
emoji: star_struck
permalink: 🤩.html
---"
0017,u+1f618,face-blowing-a-kiss,0017-face-blowing-a-kiss.md,face_blowing_a_kiss,😘,permalink: 😘.html,face blowing a kiss,"---
layout: smileys&emotion
title: face blowing a kiss
emoji: face_blowing_a_kiss
permalink: 😘.html
---"
0018,u+1f617,kissing-face,0018-kissing-face.md,kissing_face,😗,permalink: 😗.html,kissing face,"---
layout: smileys&emotion
title: kissing face
emoji: kissing_face
permalink: 😗.html
---"
0019,u+263a,smiling-face,0019-smiling-face.md,smiling_face,☺,permalink: ☺.html,smiling face,"---
layout: smileys&emotion
title: smiling face
emoji: smiling_face
permalink: ☺.html
---"
0020,u+1f61a,kissing-face-with-closed-eyes,0020-kissing-face-with-closed-eyes.md,kissing_face_with_closed_eyes,😚,permalink: 😚.html,kissing face with closed eyes,"---
layout: smileys&emotion
title: kissing face with closed eyes
emoji: kissing_face_with_closed_eyes
permalink: 😚.html
---"
0021,u+1f619,kissing-face-with-smiling-eyes,0021-kissing-face-with-smiling-eyes.md,kissing_face_with_smiling_eyes,😙,permalink: 😙.html,kissing face with smiling eyes,"---
layout: smileys&emotion
title: kissing face with smiling eyes
emoji: kissing_face_with_smiling_eyes
permalink: 😙.html
---"
0022,u+1f972,smiling-face-with-tear,0022-smiling-face-with-tear.md,smiling_face_with_tear,🥲,permalink: 🥲.html,smiling face with tear,"---
layout: smileys&emotion
title: smiling face with tear
emoji: smiling_face_with_tear
permalink: 🥲.html
---"
0023,u+1f60b,face-savoring-food,0023-face-savoring-food.md,face_savoring_food,😋,permalink: 😋.html,face savoring food,"---
layout: smileys&emotion
title: face savoring food
emoji: face_savoring_food
permalink: 😋.html
---"
0024,u+1f61b,face-with-tongue,0024-face-with-tongue.md,face_with_tongue,😛,permalink: 😛.html,face with tongue,"---
layout: smileys&emotion
title: face with tongue
emoji: face_with_tongue
permalink: 😛.html
---"
0025,u+1f61c,winking-face-with-tongue,0025-winking-face-with-tongue.md,winking_face_with_tongue,😜,permalink: 😜.html,winking face with tongue,"---
layout: smileys&emotion
title: winking face with tongue
emoji: winking_face_with_tongue
permalink: 😜.html
---"
0026,u+1f92a,zany-face,0026-zany-face.md,zany_face,🤪,permalink: 🤪.html,zany face,"---
layout: smileys&emotion
title: zany face
emoji: zany_face
permalink: 🤪.html
---"
0027,u+1f61d,squinting-face-with-tongue,0027-squinting-face-with-tongue.md,squinting_face_with_tongue,😝,permalink: 😝.html,squinting face with tongue,"---
layout: smileys&emotion
title: squinting face with tongue
emoji: squinting_face_with_tongue
permalink: 😝.html
---"
0028,u+1f911,money-mouth-face,0028-money-mouth-face.md,money_mouth_face,🤑,permalink: 🤑.html,money-mouth face,"---
layout: smileys&emotion
title: money-mouth face
emoji: money_mouth_face
permalink: 🤑.html
---"
0029,u+1f917,hugging-face,0029-hugging-face.md,hugging_face,🤗,permalink: 🤗.html,hugging face,"---
layout: smileys&emotion
title: hugging face
emoji: hugging_face
permalink: 🤗.html
---"
0030,u+1f92d,face-with-hand-over-mouth,0030-face-with-hand-over-mouth.md,face_with_hand_over_mouth,🤭,permalink: 🤭.html,face with hand over mouth,"---
layout: smileys&emotion
title: face with hand over mouth
emoji: face_with_hand_over_mouth
permalink: 🤭.html
---"
0031,u+1f92b,shushing-face,0031-shushing-face.md,shushing_face,🤫,permalink: 🤫.html,shushing face,"---
layout: smileys&emotion
title: shushing face
emoji: shushing_face
permalink: 🤫.html
---"
0032,u+1f914,thinking-face,0032-thinking-face.md,thinking_face,🤔,permalink: 🤔.html,thinking face,"---
layout: smileys&emotion
title: thinking face
emoji: thinking_face
permalink: 🤔.html
---"
0033,u+1f910,zipper-mouth-face,0033-zipper-mouth-face.md,zipper_mouth_face,🤐,permalink: 🤐.html,zipper-mouth face,"---
layout: smileys&emotion
title: zipper-mouth face
emoji: zipper_mouth_face
permalink: 🤐.html
---"
0034,u+1f928,face-with-raised-eyebrow,0034-face-with-raised-eyebrow.md,face_with_raised_eyebrow,🤨,permalink: 🤨.html,face with raised eyebrow,"---
layout: smileys&emotion
title: face with raised eyebrow
emoji: face_with_raised_eyebrow
permalink: 🤨.html
---"
0035,u+1f610,neutral-face,0035-neutral-face.md,neutral_face,😐,permalink: 😐.html,neutral face,"---
layout: smileys&emotion
title: neutral face
emoji: neutral_face
permalink: 😐.html
---"
0036,u+1f611,expressionless-face,0036-expressionless-face.md,expressionless_face,😑,permalink: 😑.html,expressionless face,"---
layout: smileys&emotion
title: expressionless face
emoji: expressionless_face
permalink: 😑.html
---"
0037,u+1f636,face-without-mouth,0037-face-without-mouth.md,face_without_mouth,😶,permalink: 😶.html,face without mouth,"---
layout: smileys&emotion
title: face without mouth
emoji: face_without_mouth
permalink: 😶.html
---"
0038,u+1f636-u+200d-u+1f32b-u+fe0f,face-in-clouds,0038-face-in-clouds.md,face_in_clouds,😶‍🌫️,permalink: 😶‍🌫️.html,face in clouds,"---
layout: smileys&emotion
title: face in clouds
emoji: face_in_clouds
permalink: 😶‍🌫️.html
---"
0039,u+1f60f,smirking-face,0039-smirking-face.md,smirking_face,😏,permalink: 😏.html,smirking face,"---
layout: smileys&emotion
title: smirking face
emoji: smirking_face
permalink: 😏.html
---"
0040,u+1f612,unamused-face,0040-unamused-face.md,unamused_face,😒,permalink: 😒.html,unamused face,"---
layout: smileys&emotion
title: unamused face
emoji: unamused_face
permalink: 😒.html
---"
0041,u+1f644,face-with-rolling-eyes,0041-face-with-rolling-eyes.md,face_with_rolling_eyes,🙄,permalink: 🙄.html,face with rolling eyes,"---
layout: smileys&emotion
title: face with rolling eyes
emoji: face_with_rolling_eyes
permalink: 🙄.html
---"
0042,u+1f62c,grimacing-face,0042-grimacing-face.md,grimacing_face,😬,permalink: 😬.html,grimacing face,"---
layout: smileys&emotion
title: grimacing face
emoji: grimacing_face
permalink: 😬.html
---"
0043,u+1f62e-u+200d-u+1f4a8,face-exhaling,0043-face-exhaling.md,face_exhaling,😮‍💨,permalink: 😮‍💨.html,face exhaling,"---
layout: smileys&emotion
title: face exhaling
emoji: face_exhaling
permalink: 😮‍💨.html
---"
0044,u+1f925,lying-face,0044-lying-face.md,lying_face,🤥,permalink: 🤥.html,lying face,"---
layout: smileys&emotion
title: lying face
emoji: lying_face
permalink: 🤥.html
---"
0045,u+1f60c,relieved-face,0045-relieved-face.md,relieved_face,😌,permalink: 😌.html,relieved face,"---
layout: smileys&emotion
title: relieved face
emoji: relieved_face
permalink: 😌.html
---"
0046,u+1f614,pensive-face,0046-pensive-face.md,pensive_face,😔,permalink: 😔.html,pensive face,"---
layout: smileys&emotion
title: pensive face
emoji: pensive_face
permalink: 😔.html
---"
0047,u+1f62a,sleepy-face,0047-sleepy-face.md,sleepy_face,😪,permalink: 😪.html,sleepy face,"---
layout: smileys&emotion
title: sleepy face
emoji: sleepy_face
permalink: 😪.html
---"
0048,u+1f924,drooling-face,0048-drooling-face.md,drooling_face,🤤,permalink: 🤤.html,drooling face,"---
layout: smileys&emotion
title: drooling face
emoji: drooling_face
permalink: 🤤.html
---"
0049,u+1f634,sleeping-face,0049-sleeping-face.md,sleeping_face,😴,permalink: 😴.html,sleeping face,"---
layout: smileys&emotion
title: sleeping face
emoji: sleeping_face
permalink: 😴.html
---"
0050,u+1f637,face-with-medical-mask,0050-face-with-medical-mask.md,face_with_medical_mask,😷,permalink: 😷.html,face with medical mask,"---
layout: smileys&emotion
title: face with medical mask
emoji: face_with_medical_mask
permalink: 😷.html
---"
0051,u+1f912,face-with-thermometer,0051-face-with-thermometer.md,face_with_thermometer,🤒,permalink: 🤒.html,face with thermometer,"---
layout: smileys&emotion
title: face with thermometer
emoji: face_with_thermometer
permalink: 🤒.html
---"
0052,u+1f915,face-with-head-bandage,0052-face-with-head-bandage.md,face_with_head_bandage,🤕,permalink: 🤕.html,face with head-bandage,"---
layout: smileys&emotion
title: face with head-bandage
emoji: face_with_head_bandage
permalink: 🤕.html
---"
0053,u+1f922,nauseated-face,0053-nauseated-face.md,nauseated_face,🤢,permalink: 🤢.html,nauseated face,"---
layout: smileys&emotion
title: nauseated face
emoji: nauseated_face
permalink: 🤢.html
---"
0054,u+1f92e,face-vomiting,0054-face-vomiting.md,face_vomiting,🤮,permalink: 🤮.html,face vomiting,"---
layout: smileys&emotion
title: face vomiting
emoji: face_vomiting
permalink: 🤮.html
---"
0055,u+1f927,sneezing-face,0055-sneezing-face.md,sneezing_face,🤧,permalink: 🤧.html,sneezing face,"---
layout: smileys&emotion
title: sneezing face
emoji: sneezing_face
permalink: 🤧.html
---"
0056,u+1f975,hot-face,0056-hot-face.md,hot_face,🥵,permalink: 🥵.html,hot face,"---
layout: smileys&emotion
title: hot face
emoji: hot_face
permalink: 🥵.html
---"
0057,u+1f976,cold-face,0057-cold-face.md,cold_face,🥶,permalink: 🥶.html,cold face,"---
layout: smileys&emotion
title: cold face
emoji: cold_face
permalink: 🥶.html
---"
0058,u+1f974,woozy-face,0058-woozy-face.md,woozy_face,🥴,permalink: 🥴.html,woozy face,"---
layout: smileys&emotion
title: woozy face
emoji: woozy_face
permalink: 🥴.html
---"
0059,u+1f635,knocked-out-face,0059-knocked-out-face.md,knocked_out_face,😵,permalink: 😵.html,knocked-out face,"---
layout: smileys&emotion
title: knocked-out face
emoji: knocked_out_face
permalink: 😵.html
---"
0060,u+1f635-u+200d-u+1f4ab,face-with-spiral-eyes,0060-face-with-spiral-eyes.md,face_with_spiral_eyes,😵‍💫,permalink: 😵‍💫.html,face with spiral eyes,"---
layout: smileys&emotion
title: face with spiral eyes
emoji: face_with_spiral_eyes
permalink: 😵‍💫.html
---"
0061,u+1f92f,exploding-head,0061-exploding-head.md,exploding_head,🤯,permalink: 🤯.html,exploding head,"---
layout: smileys&emotion
title: exploding head
emoji: exploding_head
permalink: 🤯.html
---"
0062,u+1f920,cowboy-hat-face,0062-cowboy-hat-face.md,cowboy_hat_face,🤠,permalink: 🤠.html,cowboy hat face,"---
layout: smileys&emotion
title: cowboy hat face
emoji: cowboy_hat_face
permalink: 🤠.html
---"
0063,u+1f973,partying-face,0063-partying-face.md,partying_face,🥳,permalink: 🥳.html,partying face,"---
layout: smileys&emotion
title: partying face
emoji: partying_face
permalink: 🥳.html
---"
0064,u+1f978,disguised-face,0064-disguised-face.md,disguised_face,🥸,permalink: 🥸.html,disguised face,"---
layout: smileys&emotion
title: disguised face
emoji: disguised_face
permalink: 🥸.html
---"
0065,u+1f60e,smiling-face-with-sunglasses,0065-smiling-face-with-sunglasses.md,smiling_face_with_sunglasses,😎,permalink: 😎.html,smiling face with sunglasses,"---
layout: smileys&emotion
title: smiling face with sunglasses
emoji: smiling_face_with_sunglasses
permalink: 😎.html
---"
0066,u+1f913,nerd-face,0066-nerd-face.md,nerd_face,🤓,permalink: 🤓.html,nerd face,"---
layout: smileys&emotion
title: nerd face
emoji: nerd_face
permalink: 🤓.html
---"
0067,u+1f9d0,face-with-monocle,0067-face-with-monocle.md,face_with_monocle,🧐,permalink: 🧐.html,face with monocle,"---
layout: smileys&emotion
title: face with monocle
emoji: face_with_monocle
permalink: 🧐.html
---"
0068,u+1f615,confused-face,0068-confused-face.md,confused_face,😕,permalink: 😕.html,confused face,"---
layout: smileys&emotion
title: confused face
emoji: confused_face
permalink: 😕.html
---"
0069,u+1f61f,worried-face,0069-worried-face.md,worried_face,😟,permalink: 😟.html,worried face,"---
layout: smileys&emotion
title: worried face
emoji: worried_face
permalink: 😟.html
---"
0070,u+1f641,slightly-frowning-face,0070-slightly-frowning-face.md,slightly_frowning_face,🙁,permalink: 🙁.html,slightly frowning face,"---
layout: smileys&emotion
title: slightly frowning face
emoji: slightly_frowning_face
permalink: 🙁.html
---"
0071,u+2639,frowning-face,0071-frowning-face.md,frowning_face,☹,permalink: ☹.html,frowning face,"---
layout: smileys&emotion
title: frowning face
emoji: frowning_face
permalink: ☹.html
---"
0072,u+1f62e,face-with-open-mouth,0072-face-with-open-mouth.md,face_with_open_mouth,😮,permalink: 😮.html,face with open mouth,"---
layout: smileys&emotion
title: face with open mouth
emoji: face_with_open_mouth
permalink: 😮.html
---"
0073,u+1f62f,hushed-face,0073-hushed-face.md,hushed_face,😯,permalink: 😯.html,hushed face,"---
layout: smileys&emotion
title: hushed face
emoji: hushed_face
permalink: 😯.html
---"
0074,u+1f632,astonished-face,0074-astonished-face.md,astonished_face,😲,permalink: 😲.html,astonished face,"---
layout: smileys&emotion
title: astonished face
emoji: astonished_face
permalink: 😲.html
---"
0075,u+1f633,flushed-face,0075-flushed-face.md,flushed_face,😳,permalink: 😳.html,flushed face,"---
layout: smileys&emotion
title: flushed face
emoji: flushed_face
permalink: 😳.html
---"
0076,u+1f97a,pleading-face,0076-pleading-face.md,pleading_face,🥺,permalink: 🥺.html,pleading face,"---
layout: smileys&emotion
title: pleading face
emoji: pleading_face
permalink: 🥺.html
---"
0077,u+1f626,frowning-face-with-open-mouth,0077-frowning-face-with-open-mouth.md,frowning_face_with_open_mouth,😦,permalink: 😦.html,frowning face with open mouth,"---
layout: smileys&emotion
title: frowning face with open mouth
emoji: frowning_face_with_open_mouth
permalink: 😦.html
---"
0078,u+1f627,anguished-face,0078-anguished-face.md,anguished_face,😧,permalink: 😧.html,anguished face,"---
layout: smileys&emotion
title: anguished face
emoji: anguished_face
permalink: 😧.html
---"
0079,u+1f628,fearful-face,0079-fearful-face.md,fearful_face,😨,permalink: 😨.html,fearful face,"---
layout: smileys&emotion
title: fearful face
emoji: fearful_face
permalink: 😨.html
---"
0080,u+1f630,anxious-face-with-sweat,0080-anxious-face-with-sweat.md,anxious_face_with_sweat,😰,permalink: 😰.html,anxious face with sweat,"---
layout: smileys&emotion
title: anxious face with sweat
emoji: anxious_face_with_sweat
permalink: 😰.html
---"
0081,u+1f625,sad-but-relieved-face,0081-sad-but-relieved-face.md,sad_but_relieved_face,😥,permalink: 😥.html,sad but relieved face,"---
layout: smileys&emotion
title: sad but relieved face
emoji: sad_but_relieved_face
permalink: 😥.html
---"
0082,u+1f622,crying-face,0082-crying-face.md,crying_face,😢,permalink: 😢.html,crying face,"---
layout: smileys&emotion
title: crying face
emoji: crying_face
permalink: 😢.html
---"
0083,u+1f62d,loudly-crying-face,0083-loudly-crying-face.md,loudly_crying_face,😭,permalink: 😭.html,loudly crying face,"---
layout: smileys&emotion
title: loudly crying face
emoji: loudly_crying_face
permalink: 😭.html
---"
0084,u+1f631,face-screaming-in-fear,0084-face-screaming-in-fear.md,face_screaming_in_fear,😱,permalink: 😱.html,face screaming in fear,"---
layout: smileys&emotion
title: face screaming in fear
emoji: face_screaming_in_fear
permalink: 😱.html
---"
0085,u+1f616,confounded-face,0085-confounded-face.md,confounded_face,😖,permalink: 😖.html,confounded face,"---
layout: smileys&emotion
title: confounded face
emoji: confounded_face
permalink: 😖.html
---"
0086,u+1f623,persevering-face,0086-persevering-face.md,persevering_face,😣,permalink: 😣.html,persevering face,"---
layout: smileys&emotion
title: persevering face
emoji: persevering_face
permalink: 😣.html
---"
0087,u+1f61e,disappointed-face,0087-disappointed-face.md,disappointed_face,😞,permalink: 😞.html,disappointed face,"---
layout: smileys&emotion
title: disappointed face
emoji: disappointed_face
permalink: 😞.html
---"
0088,u+1f613,downcast-face-with-sweat,0088-downcast-face-with-sweat.md,downcast_face_with_sweat,😓,permalink: 😓.html,downcast face with sweat,"---
layout: smileys&emotion
title: downcast face with sweat
emoji: downcast_face_with_sweat
permalink: 😓.html
---"
0089,u+1f629,weary-face,0089-weary-face.md,weary_face,😩,permalink: 😩.html,weary face,"---
layout: smileys&emotion
title: weary face
emoji: weary_face
permalink: 😩.html
---"
0090,u+1f62b,tired-face,0090-tired-face.md,tired_face,😫,permalink: 😫.html,tired face,"---
layout: smileys&emotion
title: tired face
emoji: tired_face
permalink: 😫.html
---"
0091,u+1f971,yawning-face,0091-yawning-face.md,yawning_face,🥱,permalink: 🥱.html,yawning face,"---
layout: smileys&emotion
title: yawning face
emoji: yawning_face
permalink: 🥱.html
---"
0092,u+1f624,face-with-steam-from-nose,0092-face-with-steam-from-nose.md,face_with_steam_from_nose,😤,permalink: 😤.html,face with steam from nose,"---
layout: smileys&emotion
title: face with steam from nose
emoji: face_with_steam_from_nose
permalink: 😤.html
---"
0093,u+1f621,pouting-face,0093-pouting-face.md,pouting_face,😡,permalink: 😡.html,pouting face,"---
layout: smileys&emotion
title: pouting face
emoji: pouting_face
permalink: 😡.html
---"
0094,u+1f620,angry-face,0094-angry-face.md,angry_face,😠,permalink: 😠.html,angry face,"---
layout: smileys&emotion
title: angry face
emoji: angry_face
permalink: 😠.html
---"
0095,u+1f92c,face-with-symbols-on-mouth,0095-face-with-symbols-on-mouth.md,face_with_symbols_on_mouth,🤬,permalink: 🤬.html,face with symbols on mouth,"---
layout: smileys&emotion
title: face with symbols on mouth
emoji: face_with_symbols_on_mouth
permalink: 🤬.html
---"
0096,u+1f608,smiling-face-with-horns,0096-smiling-face-with-horns.md,smiling_face_with_horns,😈,permalink: 😈.html,smiling face with horns,"---
layout: smileys&emotion
title: smiling face with horns
emoji: smiling_face_with_horns
permalink: 😈.html
---"
0097,u+1f47f,angry-face-with-horns,0097-angry-face-with-horns.md,angry_face_with_horns,👿,permalink: 👿.html,angry face with horns,"---
layout: smileys&emotion
title: angry face with horns
emoji: angry_face_with_horns
permalink: 👿.html
---"
0098,u+1f480,skull,0098-skull.md,skull,💀,permalink: 💀.html,skull,"---
layout: smileys&emotion
title: skull
emoji: skull
permalink: 💀.html
---"
0099,u+2620,skull-and-crossbones,0099-skull-and-crossbones.md,skull_and_crossbones,☠,permalink: ☠.html,skull and crossbones,"---
layout: smileys&emotion
title: skull and crossbones
emoji: skull_and_crossbones
permalink: ☠.html
---"
0100,u+1f4a9,pile-of-poo,0100-pile-of-poo.md,pile_of_poo,💩,permalink: 💩.html,pile of poo,"---
layout: smileys&emotion
title: pile of poo
emoji: pile_of_poo
permalink: 💩.html
---"
0101,u+1f921,clown-face,0101-clown-face.md,clown_face,🤡,permalink: 🤡.html,clown face,"---
layout: smileys&emotion
title: clown face
emoji: clown_face
permalink: 🤡.html
---"
0102,u+1f479,ogre,0102-ogre.md,ogre,👹,permalink: 👹.html,ogre,"---
layout: smileys&emotion
title: ogre
emoji: ogre
permalink: 👹.html
---"
0103,u+1f47a,goblin,0103-goblin.md,goblin,👺,permalink: 👺.html,goblin,"---
layout: smileys&emotion
title: goblin
emoji: goblin
permalink: 👺.html
---"
0104,u+1f47b,ghost,0104-ghost.md,ghost,👻,permalink: 👻.html,ghost,"---
layout: smileys&emotion
title: ghost
emoji: ghost
permalink: 👻.html
---"
0105,u+1f47d,alien,0105-alien.md,alien,👽,permalink: 👽.html,alien,"---
layout: smileys&emotion
title: alien
emoji: alien
permalink: 👽.html
---"
0106,u+1f47e,alien-monster,0106-alien-monster.md,alien_monster,👾,permalink: 👾.html,alien monster,"---
layout: smileys&emotion
title: alien monster
emoji: alien_monster
permalink: 👾.html
---"
0107,u+1f916,robot,0107-robot.md,robot,🤖,permalink: 🤖.html,robot,"---
layout: smileys&emotion
title: robot
emoji: robot
permalink: 🤖.html
---"
0108,u+1f63a,grinning-cat,0108-grinning-cat.md,grinning_cat,😺,permalink: 😺.html,grinning cat,"---
layout: smileys&emotion
title: grinning cat
emoji: grinning_cat
permalink: 😺.html
---"
0109,u+1f638,grinning-cat-with-smiling-eyes,0109-grinning-cat-with-smiling-eyes.md,grinning_cat_with_smiling_eyes,😸,permalink: 😸.html,grinning cat with smiling eyes,"---
layout: smileys&emotion
title: grinning cat with smiling eyes
emoji: grinning_cat_with_smiling_eyes
permalink: 😸.html
---"
0110,u+1f639,cat-with-tears-of-joy,0110-cat-with-tears-of-joy.md,cat_with_tears_of_joy,😹,permalink: 😹.html,cat with tears of joy,"---
layout: smileys&emotion
title: cat with tears of joy
emoji: cat_with_tears_of_joy
permalink: 😹.html
---"
0111,u+1f63b,smiling-cat-with-heart-eyes,0111-smiling-cat-with-heart-eyes.md,smiling_cat_with_heart_eyes,😻,permalink: 😻.html,smiling cat with heart-eyes,"---
layout: smileys&emotion
title: smiling cat with heart-eyes
emoji: smiling_cat_with_heart_eyes
permalink: 😻.html
---"
0112,u+1f63c,cat-with-wry-smile,0112-cat-with-wry-smile.md,cat_with_wry_smile,😼,permalink: 😼.html,cat with wry smile,"---
layout: smileys&emotion
title: cat with wry smile
emoji: cat_with_wry_smile
permalink: 😼.html
---"
0113,u+1f63d,kissing-cat,0113-kissing-cat.md,kissing_cat,😽,permalink: 😽.html,kissing cat,"---
layout: smileys&emotion
title: kissing cat
emoji: kissing_cat
permalink: 😽.html
---"
0114,u+1f640,weary-cat,0114-weary-cat.md,weary_cat,🙀,permalink: 🙀.html,weary cat,"---
layout: smileys&emotion
title: weary cat
emoji: weary_cat
permalink: 🙀.html
---"
0115,u+1f63f,crying-cat,0115-crying-cat.md,crying_cat,😿,permalink: 😿.html,crying cat,"---
layout: smileys&emotion
title: crying cat
emoji: crying_cat
permalink: 😿.html
---"
0116,u+1f63e,pouting-cat,0116-pouting-cat.md,pouting_cat,😾,permalink: 😾.html,pouting cat,"---
layout: smileys&emotion
title: pouting cat
emoji: pouting_cat
permalink: 😾.html
---"
0117,u+1f648,see-no-evil-monkey,0117-see-no-evil-monkey.md,see_no_evil_monkey,🙈,permalink: 🙈.html,see-no-evil monkey,"---
layout: smileys&emotion
title: see-no-evil monkey
emoji: see_no_evil_monkey
permalink: 🙈.html
---"
0118,u+1f649,hear-no-evil-monkey,0118-hear-no-evil-monkey.md,hear_no_evil_monkey,🙉,permalink: 🙉.html,hear-no-evil monkey,"---
layout: smileys&emotion
title: hear-no-evil monkey
emoji: hear_no_evil_monkey
permalink: 🙉.html
---"
0119,u+1f64a,speak-no-evil-monkey,0119-speak-no-evil-monkey.md,speak_no_evil_monkey,🙊,permalink: 🙊.html,speak-no-evil monkey,"---
layout: smileys&emotion
title: speak-no-evil monkey
emoji: speak_no_evil_monkey
permalink: 🙊.html
---"
0120,u+1f48b,kiss-mark,0120-kiss-mark.md,kiss_mark,💋,permalink: 💋.html,kiss mark,"---
layout: smileys&emotion
title: kiss mark
emoji: kiss_mark
permalink: 💋.html
---"
0121,u+1f48c,love-letter,0121-love-letter.md,love_letter,💌,permalink: 💌.html,love letter,"---
layout: smileys&emotion
title: love letter
emoji: love_letter
permalink: 💌.html
---"
0122,u+1f498,heart-with-arrow,0122-heart-with-arrow.md,heart_with_arrow,💘,permalink: 💘.html,heart with arrow,"---
layout: smileys&emotion
title: heart with arrow
emoji: heart_with_arrow
permalink: 💘.html
---"
0123,u+1f49d,heart-with-ribbon,0123-heart-with-ribbon.md,heart_with_ribbon,💝,permalink: 💝.html,heart with ribbon,"---
layout: smileys&emotion
title: heart with ribbon
emoji: heart_with_ribbon
permalink: 💝.html
---"
0124,u+1f496,sparkling-heart,0124-sparkling-heart.md,sparkling_heart,💖,permalink: 💖.html,sparkling heart,"---
layout: smileys&emotion
title: sparkling heart
emoji: sparkling_heart
permalink: 💖.html
---"
0125,u+1f497,growing-heart,0125-growing-heart.md,growing_heart,💗,permalink: 💗.html,growing heart,"---
layout: smileys&emotion
title: growing heart
emoji: growing_heart
permalink: 💗.html
---"
0126,u+1f493,beating-heart,0126-beating-heart.md,beating_heart,💓,permalink: 💓.html,beating heart,"---
layout: smileys&emotion
title: beating heart
emoji: beating_heart
permalink: 💓.html
---"
0127,u+1f49e,revolving-hearts,0127-revolving-hearts.md,revolving_hearts,💞,permalink: 💞.html,revolving hearts,"---
layout: smileys&emotion
title: revolving hearts
emoji: revolving_hearts
permalink: 💞.html
---"
0128,u+1f495,two-hearts,0128-two-hearts.md,two_hearts,💕,permalink: 💕.html,two hearts,"---
layout: smileys&emotion
title: two hearts
emoji: two_hearts
permalink: 💕.html
---"
