number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
1049,u+1fa80,yoyo,1049-yoyo.md,yoyo,🪀,permalink: 🪀.html,yoyo,"---
layout: activities
title: yoyo
emoji: yoyo
permalink: 🪀.html
---"
1050,u+1fa81,kite,1050-kite.md,kite,🪁,permalink: 🪁.html,kite,"---
layout: activities
title: kite
emoji: kite
permalink: 🪁.html
---"
1051,u+1f3b1,pool-8-ball,1051-pool-8-ball.md,pool_8_ball,🎱,permalink: 🎱.html,pool 8 ball,"---
layout: activities
title: pool 8 ball
emoji: pool_8_ball
permalink: 🎱.html
---"
1052,u+1f52e,crystal-ball,1052-crystal-ball.md,crystal_ball,🔮,permalink: 🔮.html,crystal ball,"---
layout: activities
title: crystal ball
emoji: crystal_ball
permalink: 🔮.html
---"
1053,u+1fa84,magic-wand,1053-magic-wand.md,magic_wand,🪄,permalink: 🪄.html,magic wand,"---
layout: activities
title: magic wand
emoji: magic_wand
permalink: 🪄.html
---"
1054,u+1f9ff,nazar-amulet,1054-nazar-amulet.md,nazar_amulet,🧿,permalink: 🧿.html,nazar amulet,"---
layout: activities
title: nazar amulet
emoji: nazar_amulet
permalink: 🧿.html
---"
1055,u+1f3ae,video-game,1055-video-game.md,video_game,🎮,permalink: 🎮.html,video game,"---
layout: activities
title: video game
emoji: video_game
permalink: 🎮.html
---"
1056,u+1f579,joystick,1056-joystick.md,joystick,🕹,permalink: 🕹.html,joystick,"---
layout: activities
title: joystick
emoji: joystick
permalink: 🕹.html
---"
1057,u+1f3b0,slot-machine,1057-slot-machine.md,slot_machine,🎰,permalink: 🎰.html,slot machine,"---
layout: activities
title: slot machine
emoji: slot_machine
permalink: 🎰.html
---"
1058,u+1f3b2,game-die,1058-game-die.md,game_die,🎲,permalink: 🎲.html,game die,"---
layout: activities
title: game die
emoji: game_die
permalink: 🎲.html
---"
1059,u+1f9e9,puzzle-piece,1059-puzzle-piece.md,puzzle_piece,🧩,permalink: 🧩.html,puzzle piece,"---
layout: activities
title: puzzle piece
emoji: puzzle_piece
permalink: 🧩.html
---"
