number,code,emoji,emoji-symbol,title
0113,u+1f63d,kissing_cat,😽,kissing cat
0114,u+1f640,weary_cat,🙀,weary cat
0115,u+1f63f,crying_cat,😿,crying cat
0116,u+1f63e,pouting_cat,😾,pouting cat
0117,u+1f648,see_no_evil_monkey,🙈,see-no-evil monkey
0118,u+1f649,hear_no_evil_monkey,🙉,hear-no-evil monkey
0119,u+1f64a,speak_no_evil_monkey,🙊,speak-no-evil monkey
0120,u+1f48b,kiss_mark,💋,kiss mark
0121,u+1f48c,love_letter,💌,love letter
0122,u+1f498,heart_with_arrow,💘,heart with arrow
0123,u+1f49d,heart_with_ribbon,💝,heart with ribbon
0124,u+1f496,sparkling_heart,💖,sparkling heart
0125,u+1f497,growing_heart,💗,growing heart
0126,u+1f493,beating_heart,💓,beating heart
0127,u+1f49e,revolving_hearts,💞,revolving hearts
0128,u+1f495,two_hearts,💕,two hearts
0129,u+1f49f,heart_decoration,💟,heart decoration
0130,u+2763,heart_exclamation,❣,heart exclamation
0131,u+1f494,broken_heart,💔,broken heart
0132,u+2764-u+fe0f-u+200d-u+1f525,heart_on_fire,❤️‍🔥,heart on fire
0133,u+2764-u+fe0f-u+200d-u+1fa79,mending_heart,❤️‍🩹,mending heart
0134,u+2764,red_heart,❤,red heart
0135,u+1f9e1,orange_heart,🧡,orange heart
0136,u+1f49b,yellow_heart,💛,yellow heart
0137,u+1f49a,green_heart,💚,green heart
0138,u+1f499,blue_heart,💙,blue heart
0139,u+1f49c,purple_heart,💜,purple heart
0140,u+1f90e,brown_heart,🤎,brown heart
0141,u+1f5a4,black_heart,🖤,black heart
0142,u+1f90d,white_heart,🤍,white heart
0143,u+1f4af,hundred_points,💯,hundred points
0144,u+1f4a2,anger_symbol,💢,anger symbol
0145,u+1f4a5,collision,💥,collision
0146,u+1f4ab,dizzy,💫,dizzy
0147,u+1f4a6,sweat_droplets,💦,sweat droplets
0148,u+1f4a8,dashing_away,💨,dashing away
0149,u+1f573,hole,🕳,hole
0150,u+1f4a3,bomb,💣,bomb
0151,u+1f4ac,speech_balloon,💬,speech balloon
0152,u+1f441-u+fe0f-u+200d-u+1f5e8-u+fe0f,eye_in_speech_bubble,👁️‍🗨️,eye in speech bubble
0153,u+1f5e8,left_speech_bubble,🗨,left speech bubble
0154,u+1f5ef,right_anger_bubble,🗯,right anger bubble
0155,u+1f4ad,thought_balloon,💭,thought balloon
0156,u+1f4a4,zzz,💤,zzz
0157,u+1f44b,waving_hand,👋,waving hand
0158,u+1f91a,raised_back_of_hand,🤚,raised back of hand
0159,u+1f590,hand_with_fingers_splayed,🖐,hand with fingers splayed
0160,u+270b,raised_hand,✋,raised hand
0161,u+1f596,vulcan_salute,🖖,vulcan salute
0162,u+1f44c,ok_hand,👌,OK hand
0163,u+1f90c,pinched_fingers,🤌,pinched fingers
0164,u+1f90f,pinching_hand,🤏,pinching hand
0165,u+270c,victory_hand,✌,victory hand
0166,u+1f91e,crossed_fingers,🤞,crossed fingers
0167,u+1f91f,love_you_gesture,🤟,love-you gesture
0168,u+1f918,sign_of_the_horns,🤘,sign of the horns
0169,u+1f919,call_me_hand,🤙,call me hand
0170,u+1f448,backhand_index_pointing_left,👈,backhand index pointing left
0171,u+1f449,backhand_index_pointing_right,👉,backhand index pointing right
0172,u+1f446,backhand_index_pointing_up,👆,backhand index pointing up
0173,u+1f595,middle_finger,🖕,middle finger
0174,u+1f447,backhand_index_pointing_down,👇,backhand index pointing down
0175,u+261d,index_pointing_up,☝,index pointing up
0176,u+1f44d,thumbs_up,👍,thumbs up
0177,u+1f44e,thumbs_down,👎,thumbs down
0178,u+270a,raised_fist,✊,raised fist
0179,u+1f44a,oncoming_fist,👊,oncoming fist
0180,u+1f91b,left_facing_fist,🤛,left-facing fist
0181,u+1f91c,right_facing_fist,🤜,right-facing fist
0182,u+1f44f,clapping_hands,👏,clapping hands
0183,u+1f64c,raising_hands,🙌,raising hands
0184,u+1f450,open_hands,👐,open hands
0185,u+1f932,palms_up_together,🤲,palms up together
0186,u+1f91d,handshake,🤝,handshake
0187,u+1f64f,folded_hands,🙏,folded hands
0188,u+270d,writing_hand,✍,writing hand
0189,u+1f485,nail_polish,💅,nail polish
0190,u+1f933,selfie,🤳,selfie
0191,u+1f4aa,flexed_biceps,💪,flexed biceps
0192,u+1f9be,mechanical_arm,🦾,mechanical arm
0193,u+1f9bf,mechanical_leg,🦿,mechanical leg
0194,u+1f9b5,leg,🦵,leg
0195,u+1f9b6,foot,🦶,foot
0196,u+1f442,ear,👂,ear
0197,u+1f9bb,ear_with_hearing_aid,🦻,ear with hearing aid
0198,u+1f443,nose,👃,nose
0199,u+1f9e0,brain,🧠,brain
0200,u+1fac0,anatomical_heart,🫀,anatomical heart
0201,u+1fac1,lungs,🫁,lungs
0202,u+1f9b7,tooth,🦷,tooth
0203,u+1f9b4,bone,🦴,bone
0204,u+1f440,eyes,👀,eyes
0205,u+1f441,eye,👁,eye
0206,u+1f445,tongue,👅,tongue
0207,u+1f444,mouth,👄,mouth
0208,u+1f476,baby,👶,baby
0209,u+1f9d2,child,🧒,child
0210,u+1f466,boy,👦,boy
0211,u+1f467,girl,👧,girl
0212,u+1f9d1,person,🧑,person
0213,u+1f471,person_blond_hair,👱,"""person: blond hair"""
0214,u+1f468,man,👨,man
0215,u+1f9d4,person_beard,🧔,"""person: beard"""
0216,u+1f9d4-u+200d-u+2642-u+fe0f,man_beard,🧔‍♂️,"""man: beard"""
0217,u+1f9d4-u+200d-u+2640-u+fe0f,woman_beard,🧔‍♀️,"""woman: beard"""
0218,u+1f468-u+200d-u+1f9b0,man_red_hair,👨‍🦰,"""man: red hair"""
0219,u+1f468-u+200d-u+1f9b1,man_curly_hair,👨‍🦱,"""man: curly hair"""
0220,u+1f468-u+200d-u+1f9b3,man_white_hair,👨‍🦳,"""man: white hair"""
0221,u+1f468-u+200d-u+1f9b2,man_bald,👨‍🦲,"""man: bald"""
0222,u+1f469,woman,👩,woman
0223,u+1f469-u+200d-u+1f9b0,woman_red_hair,👩‍🦰,"""woman: red hair"""
0224,u+1f9d1-u+200d-u+1f9b0,person_red_hair,🧑‍🦰,"""person: red hair"""
0225,u+1f469-u+200d-u+1f9b1,woman_curly_hair,👩‍🦱,"""woman: curly hair"""
0226,u+1f9d1-u+200d-u+1f9b1,person_curly_hair,🧑‍🦱,"""person: curly hair"""
0227,u+1f469-u+200d-u+1f9b3,woman_white_hair,👩‍🦳,"""woman: white hair"""
0228,u+1f9d1-u+200d-u+1f9b3,person_white_hair,🧑‍🦳,"""person: white hair"""
0229,u+1f469-u+200d-u+1f9b2,woman_bald,👩‍🦲,"""woman: bald"""
0230,u+1f9d1-u+200d-u+1f9b2,person_bald,🧑‍🦲,"""person: bald"""
0231,u+1f471-u+200d-u+2640-u+fe0f,woman_blond_hair,👱‍♀️,"""woman: blond hair"""
0232,u+1f471-u+200d-u+2642-u+fe0f,man_blond_hair,👱‍♂️,"""man: blond hair"""
0233,u+1f9d3,older_person,🧓,older person
0234,u+1f474,old_man,👴,old man
0235,u+1f475,old_woman,👵,old woman
0236,u+1f64d,person_frowning,🙍,person frowning
0237,u+1f64d-u+200d-u+2642-u+fe0f,man_frowning,🙍‍♂️,man frowning
0238,u+1f64d-u+200d-u+2640-u+fe0f,woman_frowning,🙍‍♀️,woman frowning
0239,u+1f64e,person_pouting,🙎,person pouting
0240,u+1f64e-u+200d-u+2642-u+fe0f,man_pouting,🙎‍♂️,man pouting
0241,u+1f64e-u+200d-u+2640-u+fe0f,woman_pouting,🙎‍♀️,woman pouting
0242,u+1f645,person_gesturing_no,🙅,person gesturing NO
0243,u+1f645-u+200d-u+2642-u+fe0f,man_gesturing_no,🙅‍♂️,man gesturing NO
0244,u+1f645-u+200d-u+2640-u+fe0f,woman_gesturing_no,🙅‍♀️,woman gesturing NO
0245,u+1f646,person_gesturing_ok,🙆,person gesturing OK
0246,u+1f646-u+200d-u+2642-u+fe0f,man_gesturing_ok,🙆‍♂️,man gesturing OK
0247,u+1f646-u+200d-u+2640-u+fe0f,woman_gesturing_ok,🙆‍♀️,woman gesturing OK
0248,u+1f481,person_tipping_hand,💁,person tipping hand
0249,u+1f481-u+200d-u+2642-u+fe0f,man_tipping_hand,💁‍♂️,man tipping hand
0250,u+1f481-u+200d-u+2640-u+fe0f,woman_tipping_hand,💁‍♀️,woman tipping hand
0251,u+1f64b,person_raising_hand,🙋,person raising hand
0252,u+1f64b-u+200d-u+2642-u+fe0f,man_raising_hand,🙋‍♂️,man raising hand
0253,u+1f64b-u+200d-u+2640-u+fe0f,woman_raising_hand,🙋‍♀️,woman raising hand
0254,u+1f9cf,deaf_person,🧏,deaf person
0255,u+1f9cf-u+200d-u+2642-u+fe0f,deaf_man,🧏‍♂️,deaf man
0256,u+1f9cf-u+200d-u+2640-u+fe0f,deaf_woman,🧏‍♀️,deaf woman
0257,u+1f647,person_bowing,🙇,person bowing
0258,u+1f647-u+200d-u+2642-u+fe0f,man_bowing,🙇‍♂️,man bowing
0259,u+1f647-u+200d-u+2640-u+fe0f,woman_bowing,🙇‍♀️,woman bowing
0260,u+1f926,person_facepalming,🤦,person facepalming
0261,u+1f926-u+200d-u+2642-u+fe0f,man_facepalming,🤦‍♂️,man facepalming
0262,u+1f926-u+200d-u+2640-u+fe0f,woman_facepalming,🤦‍♀️,woman facepalming
0263,u+1f937,person_shrugging,🤷,person shrugging
0264,u+1f937-u+200d-u+2642-u+fe0f,man_shrugging,🤷‍♂️,man shrugging
0265,u+1f937-u+200d-u+2640-u+fe0f,woman_shrugging,🤷‍♀️,woman shrugging
0266,u+1f9d1-u+200d-u+2695-u+fe0f,health_worker,🧑‍⚕️,health worker
0267,u+1f468-u+200d-u+2695-u+fe0f,man_health_worker,👨‍⚕️,man health worker
0268,u+1f469-u+200d-u+2695-u+fe0f,woman_health_worker,👩‍⚕️,woman health worker
0269,u+1f9d1-u+200d-u+1f393,student,🧑‍🎓,student
0270,u+1f468-u+200d-u+1f393,man_student,👨‍🎓,man student
0271,u+1f469-u+200d-u+1f393,woman_student,👩‍🎓,woman student
0272,u+1f9d1-u+200d-u+1f3eb,teacher,🧑‍🏫,teacher
0273,u+1f468-u+200d-u+1f3eb,man_teacher,👨‍🏫,man teacher
0274,u+1f469-u+200d-u+1f3eb,woman_teacher,👩‍🏫,woman teacher
0275,u+1f9d1-u+200d-u+2696-u+fe0f,judge,🧑‍⚖️,judge
0276,u+1f468-u+200d-u+2696-u+fe0f,man_judge,👨‍⚖️,man judge
0277,u+1f469-u+200d-u+2696-u+fe0f,woman_judge,👩‍⚖️,woman judge
0278,u+1f9d1-u+200d-u+1f33e,farmer,🧑‍🌾,farmer
0279,u+1f468-u+200d-u+1f33e,man_farmer,👨‍🌾,man farmer
0280,u+1f469-u+200d-u+1f33e,woman_farmer,👩‍🌾,woman farmer
0281,u+1f9d1-u+200d-u+1f373,cook,🧑‍🍳,cook
0282,u+1f468-u+200d-u+1f373,man_cook,👨‍🍳,man cook
0283,u+1f469-u+200d-u+1f373,woman_cook,👩‍🍳,woman cook
0284,u+1f9d1-u+200d-u+1f527,mechanic,🧑‍🔧,mechanic
0285,u+1f468-u+200d-u+1f527,man_mechanic,👨‍🔧,man mechanic
0286,u+1f469-u+200d-u+1f527,woman_mechanic,👩‍🔧,woman mechanic
0287,u+1f9d1-u+200d-u+1f3ed,factory_worker,🧑‍🏭,factory worker
0288,u+1f468-u+200d-u+1f3ed,man_factory_worker,👨‍🏭,man factory worker
0289,u+1f469-u+200d-u+1f3ed,woman_factory_worker,👩‍🏭,woman factory worker
0290,u+1f9d1-u+200d-u+1f4bc,office_worker,🧑‍💼,office worker
0291,u+1f468-u+200d-u+1f4bc,man_office_worker,👨‍💼,man office worker
0292,u+1f469-u+200d-u+1f4bc,woman_office_worker,👩‍💼,woman office worker
0293,u+1f9d1-u+200d-u+1f52c,scientist,🧑‍🔬,scientist
0294,u+1f468-u+200d-u+1f52c,man_scientist,👨‍🔬,man scientist
0295,u+1f469-u+200d-u+1f52c,woman_scientist,👩‍🔬,woman scientist
0296,u+1f9d1-u+200d-u+1f4bb,technologist,🧑‍💻,technologist
0297,u+1f468-u+200d-u+1f4bb,man_technologist,👨‍💻,man technologist
0298,u+1f469-u+200d-u+1f4bb,woman_technologist,👩‍💻,woman technologist
0299,u+1f9d1-u+200d-u+1f3a4,singer,🧑‍🎤,singer
0300,u+1f468-u+200d-u+1f3a4,man_singer,👨‍🎤,man singer
0301,u+1f469-u+200d-u+1f3a4,woman_singer,👩‍🎤,woman singer
0302,u+1f9d1-u+200d-u+1f3a8,artist,🧑‍🎨,artist
0303,u+1f468-u+200d-u+1f3a8,man_artist,👨‍🎨,man artist
0304,u+1f469-u+200d-u+1f3a8,woman_artist,👩‍🎨,woman artist
0305,u+1f9d1-u+200d-u+2708-u+fe0f,pilot,🧑‍✈️,pilot
0306,u+1f468-u+200d-u+2708-u+fe0f,man_pilot,👨‍✈️,man pilot
0307,u+1f469-u+200d-u+2708-u+fe0f,woman_pilot,👩‍✈️,woman pilot
0308,u+1f9d1-u+200d-u+1f680,astronaut,🧑‍🚀,astronaut
0309,u+1f468-u+200d-u+1f680,man_astronaut,👨‍🚀,man astronaut
0310,u+1f469-u+200d-u+1f680,woman_astronaut,👩‍🚀,woman astronaut
0311,u+1f9d1-u+200d-u+1f692,firefighter,🧑‍🚒,firefighter
0312,u+1f468-u+200d-u+1f692,man_firefighter,👨‍🚒,man firefighter
0313,u+1f469-u+200d-u+1f692,woman_firefighter,👩‍🚒,woman firefighter
0314,u+1f46e,police_officer,👮,police officer
0315,u+1f46e-u+200d-u+2642-u+fe0f,man_police_officer,👮‍♂️,man police officer
0316,u+1f46e-u+200d-u+2640-u+fe0f,woman_police_officer,👮‍♀️,woman police officer
0317,u+1f575,detective,🕵,detective
0318,u+1f575-u+fe0f-u+200d-u+2642-u+fe0f,man_detective,🕵️‍♂️,man detective
